Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized
AbnormalAccruals,2001,1971,1992,1971-01-01,1992-12-31,1.0783969329269592,246,2002-01-01,2024-12-31,-0.17449135118137035,276,0.23045513720334815,630,0.916666667,8.43,1.8618755296219127
Accruals,1996,1962,1991,1962-01-01,1991-12-31,1.2183143536598,360,1997-01-01,2024-12-31,0.1866821075018738,336,0.713061751750963,870,0.866666667,4.71,0.8599244152831107
AccrualsBM,2004,1980,1998,1980-01-01,1998-12-31,1.1177582696827042,228,2005-01-01,2024-12-31,0.5734194232913296,240,0.839776354636269,725,0.206,5.5,1.2617865362880898
Activism1,2005,1990,2001,1990-01-01,2001-12-31,0.2946580905376371,135,2006-01-01,2024-12-31,0.3037538410940778,14,0.1869106294880887,197,0.9025,3.13,0.9331857026099122
AM,1992,1963,1990,1963-01-01,1990-12-31,0.6601811495440237,336,1993-01-01,2024-12-31,0.3064163588383219,384,0.413936010575883,882,,5.69,1.0753089257112516
AnalystRevision,1984,1975,1980,1975-01-01,1980-12-31,2.4422465574914405,58,1985-01-01,2024-12-31,1.0549042050973125,480,1.287174492096622,586,0.460583333,3.169151376,1.4415164747705935
AnnouncementReturn,1996,1977,1992,1977-01-01,1992-12-31,3.175482820443261,192,1997-01-01,2024-12-31,1.3520015729872916,336,1.9172305647087058,640,,9.25,2.3125
AssetGrowth,2008,1968,2003,1968-01-01,2003-12-31,1.2759289637483895,432,2009-01-01,2024-12-31,0.6498629078383029,192,0.8738536444951976,870,1.73,8.45,1.408333333333333
BetaLiquidityPS,2003,1968,1999,1968-01-01,1999-12-31,0.35859982465179063,384,2004-01-01,2024-12-31,-0.006726981871238492,252,0.15636411195314345,733,0.533333333,2.54,0.44901280605345767
BetaTailRisk,2014,1963,2010,1963-01-01,2010-12-31,0.47602858396800185,576,2015-01-01,2024-12-31,0.2557636265450806,120,0.2993595727070713,1116,0.33,2.48,0.35795716689756796
betaVIX,2006,1986,2000,1986-01-01,2000-12-31,0.9313929081194294,179,2007-01-01,2024-12-31,0.20843713929340604,216,0.5356794106596975,467,1.04,3.9,1.0097845336849212
BM,1980,1962,1976,1962-01-01,1976-12-31,0.9790480868833382,180,1981-01-01,2024-12-31,0.47929715031687825,528,0.5549051990787071,882,,,
BMdec,1992,1963,1990,1963-01-01,1990-12-31,1.0082549138863606,336,1993-01-01,2024-12-31,0.6232201721517566,384,0.7673270176126961,870,0.5,5.71,1.0790885704413435
BookLeverage,1992,1963,1990,1963-01-01,1990-12-31,0.605947355169534,336,1993-01-01,2024-12-31,-0.021773562710811316,384,0.0392248593109993,882,,5.34,1.0091651429346367
BPEBM,2007,1963,2001,1963-01-01,2001-12-31,0.44404006883725095,468,2008-01-01,2024-12-31,-0.05893869812310685,204,0.24268060392477042,750,,4.1,0.6565254306008571
Cash,2012,1972,2009,1972-01-01,2009-12-31,0.49557174113068575,456,2013-01-01,2024-12-31,-0.07068264995236637,144,0.31484250531343844,639,0.69,2.14,0.34715384121983184
CashProd,2009,1963,2003,1963-01-01,2003-12-31,0.4979269661670237,492,2010-01-01,2024-12-31,0.20001357856719476,180,0.33774491384244554,888,,3.6,0.5622255427989817
CBOperProf,2016,1963,2014,1963-01-01,2014-12-31,0.4603884599154837,624,2017-01-01,2024-12-31,0.3459956249575668,96,0.4466922561233127,750,0.47,3.17,0.4395999055084941
CF,1994,1968,1990,1968-01-01,1990-12-31,0.8407088875300238,276,1995-01-01,2024-12-31,0.24624768524205587,360,0.3327366984746447,882,0.658333333,3.379,0.7045702050988556
cfp,2004,1973,1997,1973-01-01,1997-12-31,0.4385398011550262,300,2005-01-01,2024-12-31,0.6729162202450661,240,0.36558329133849793,726,1.275,2.77,0.5539999999999999
ChangeInRecommendation,2004,1985,1998,1985-01-01,1998-12-31,2.9422701763279786,61,2005-01-01,2024-12-31,0.607797289782811,240,1.2565628129820672,373,0.225,,
ChAssetTurnover,2008,1984,2002,1984-01-01,2002-12-31,0.8507618019636326,228,2009-01-01,2024-12-31,0.12769284115933144,192,0.5055065735819468,858,,5.12,1.1746085574172762
